Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
317,Emiliano Martínez,ar ARG,GK,Aston Villa,32-195,1992,28,28,"2,430",27,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
318,Lisandro Martínez,ar ARG,DF,Manchester Utd,27-057,1998,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.1,0.05,0.15,0.1,0.15,0.07,0.06,0.13,0.07,0.13,Matches
319,Pape Matar Sarr,sn SEN,MF,Tottenham,22-183,2002,27,16,"1,396",15.5,3,2,5,3,0,0,5,0,3.1,3.1,1.5,4.7,27,72,40,0.19,0.13,0.32,0.19,0.32,0.2,0.1,0.3,0.2,0.3,Matches
320,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-261,1997,27,25,"2,132",23.7,12,2,14,10,2,2,2,0,11.3,9.7,3,12.7,31,42,100,0.51,0.08,0.59,0.42,0.51,0.48,0.13,0.6,0.41,0.53,Matches
321,Stephy Mavididi,eng ENG,FW,Leicester City,26-289,1998,26,14,"1,388",15.4,3,1,4,3,0,0,2,0,1.6,1.6,2.4,4,74,53,115,0.19,0.06,0.26,0.19,0.26,0.1,0.16,0.26,0.1,0.26,Matches
322,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-095,1997,25,17,"1,662",18.5,0,0,0,0,0,0,4,1,1.2,1.2,0.5,1.7,15,55,2,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,Matches
323,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-122,1997,28,25,"2,128",23.6,0,1,1,0,0,0,2,0,0.6,0.6,1.1,1.8,31,88,44,0,0.04,0.04,0,0.04,0.03,0.05,0.07,0.03,0.07,Matches
324,Bryan Mbeumo,cm CMR,FW,Brentford,25-221,1999,29,29,"2,604",28.9,15,5,20,11,4,4,2,0,9,5.8,6.7,12.5,99,109,276,0.52,0.17,0.69,0.38,0.55,0.31,0.23,0.54,0.2,0.43,Matches
325,James Mcatee,eng ENG,"MF,FW",Manchester City,22-149,2002,10,0,130,1.4,2,0,2,2,0,0,0,0,1.3,1.3,0,1.3,4,3,12,1.38,0,1.38,1.38,1.38,0.93,0,0.93,0.93,0.93,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
326,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-114,2001,11,4,386,4.3,0,1,1,0,0,0,1,0,0.6,0.6,0.4,0.9,13,8,36,0,0.23,0.23,0,0.23,0.13,0.08,0.21,0.13,0.21,Matches
327,Alex McCarthy,eng ENG,GK,Southampton,35-103,1989,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
328,John McGinn,sct SCO,"MF,FW",Aston Villa,30-149,1994,25,22,"1,777",19.7,0,3,3,0,0,0,6,0,2,2,2.7,4.7,26,83,64,0,0.15,0.15,0,0.15,0.1,0.13,0.24,0.1,0.24,Matches
329,Dwight McNeil,eng ENG,"MF,FW",Everton,25-114,1999,13,13,"1,140",12.7,3,3,6,3,0,0,1,0,0.9,0.9,3.5,4.4,31,60,65,0.24,0.24,0.47,0.24,0.47,0.07,0.27,0.34,0.07,0.34,Matches
330,Scott McTominay,sct SCO,MF,Manchester Utd,28-098,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,2,0,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
331,Ben Mee,eng ENG,DF,Brentford,35-176,1989,7,2,183,2,0,0,0,0,0,0,2,0,0,0,0,0,3,11,2,0,0,0,0,0,0,0,0,0,0,Matches
332,Jayden Meghoma,eng ENG,DF,Brentford,18-261,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
333,Mikel Merino,es ESP,"MF,FW",Arsenal,28-267,1996,20,11,"1,059",11.8,4,1,5,4,0,0,2,0,3.5,3.5,1.4,4.9,7,51,68,0.34,0.08,0.42,0.34,0.42,0.3,0.12,0.41,0.3,0.41,Matches
334,Shumaira Mheuka,eng ENG,MF,Chelsea,17-147,2007,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,5.06,0,5.06,5.06,5.06,Matches
335,Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-155,1997,28,28,"2,520",28,4,2,6,4,0,0,4,0,3.5,3.5,0.8,4.3,2,41,5,0.14,0.07,0.21,0.14,0.21,0.13,0.03,0.15,0.13,0.15,Matches
336,Lewis Miley,eng ENG,MF,Newcastle Utd,18-319,2006,8,1,192,2.1,1,0,1,1,0,0,0,0,0.5,0.5,0,0.6,1,12,4,0.47,0,0.47,0.47,0.47,0.25,0.01,0.27,0.25,0.27,Matches
337,James Milner,eng ENG,MF,Brighton,39-071,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0,0,0,0,0,0.09,0.12,0.21,0.09,0.21,Matches
338,Tyrone Mings,eng ENG,DF,Aston Villa,32-003,1993,10,8,781,8.7,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,3,29,0,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
339,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-237,2004,24,13,"1,266",14.1,5,3,8,5,0,0,6,0,3.3,3.3,4,7.3,57,27,136,0.36,0.21,0.57,0.36,0.57,0.23,0.28,0.52,0.23,0.52,Matches
340,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-196,1999,28,28,"2,400",26.7,0,4,4,0,0,0,2,0,1.2,1.2,5.3,6.5,49,54,136,0,0.15,0.15,0,0.15,0.05,0.2,0.25,0.05,0.25,Matches
341,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-300,1997,29,26,"2,315",25.7,7,3,10,7,0,0,1,0,7.3,7.3,4.3,11.6,127,75,258,0.27,0.12,0.39,0.27,0.39,0.28,0.17,0.45,0.28,0.45,Matches
342,Jakub Moder,pl POL,MF,Brighton,25-343,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,4,0,0,0,0,0,0,0,1.45,1.45,0,1.45,Matches
343,Mikey Moore,eng ENG,"FW,MF",Tottenham,17-217,2007,7,2,185,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,30,0,0.49,0.49,0,0.49,0.1,0.16,0.26,0.1,0.26,Matches
344,Morato,br BRA,DF,Nott'ham Forest,23-259,2001,20,4,629,7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,13,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
345,Álex Moreno,es ESP,DF,Nott'ham Forest,31-281,1993,13,10,813,9,0,1,1,0,0,0,2,0,0.2,0.2,1,1.1,24,29,28,0,0.11,0.11,0,0.11,0.02,0.11,0.12,0.02,0.12,Matches
346,Sam Morsy,eg EGY,MF,Ipswich Town,33-187,1991,24,22,"1,979",22,1,1,2,1,0,0,8,0,0.3,0.3,0.7,1,13,90,9,0.05,0.05,0.09,0.05,0.09,0.01,0.03,0.05,0.01,0.05,Matches
347,Yerson Mosquera,co COL,DF,Wolves,23-318,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
348,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-065,1999,8,4,247,2.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,2,8,5,0,0,0,0,0,0.14,0.04,0.18,0.14,0.18,Matches
349,Divin Mubama,eng ENG,FW,Manchester City,20-142,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
